มุกดาหาร,25.5
เชียงราย,24.5 °C
เชียงใหม่,24.2 °C
แม่ฮ่องสอน,25.2 °C
ตาก,26.8 °C
น่าน,25.4 °C
อุตรดิตถ์,27.0 °C
พิษณุโลก,26.0 °C
กำแพงเพชร,26.7 °C
พิจิตร,26.5 °C
สุโขทัย,26.7 °C
พะเยา,25.7 °C
ลำพูน,24.2 °C
ลำปาง,26.2 °C
แพร่,25.7 °C
เพชรบูรณ์,25.2 °C
หนองคาย,27.1 °C
เลย,25.0 °C
ขอนแก่น,23.8 °C
อุบลราชธานี,25.6 °C
นครราชสีมา,25.5 °C
ร้อยเอ็ด,24.7 °C
มุกดาหาร,25.5 °C
อุดรธานี,26.8 °C
หนองบัวลำภู,26.0 °C
นครพนม,25.4 °C
สกลนคร,25.1 °C
มหาสารคาม,24.7 °C
กาฬสินธุ์,25.2 °C
ชัยภูมิ,25.1 °C
ศรีสะเกษ,25.9 °C
ยโสธร,24.5 °C
สุรินทร์,25.0 °C
บุรีรัมย์,24.7 °C
อำนาจเจริญ,24.0 °C
กาญจนบุรี,26.0 °C
นครสวรรค์,26.3 °C
กรุงเทพมหานคร,26.5 °C
สุพรรณบุรี,27.7 °C
ชัยนาท,26.4 °C
ลพบุรี,26.0 °C
พระนครศรีอยุธยา,26.1 °C
ราชบุรี,25.7 °C
ปทุมธานี,27.0 °C
สมุทรสงคราม,26.5 °C
อุทัยธานี,26.5 °C
นครปฐม,26.0 °C
สมุทรปราการ,27.5 °C
สระแก้ว,25.5 °C
ชลบุรี,26.5 °C
ระยอง,25.5 °C
ปราจีนบุรี,26.5 °C
ตราด,26.0 °C
จันทบุรี,26.3 °C
ฉะเชิงเทรา,25.8 °C
นครนายก,20.2 °C
ประจวบคีรีขันธ์,25.4 °C
ชุมพร,25.5 °C
นครศรีธรรมราช,25.0 °C
นราธิวาส,26.0 °C
สุราษฎร์ธานี,27.5 °C
ยะลา,26.5 °C
ปัตตานี,25.5 °C
สงขลา,25.6 °C
เพชรบุรี,26.0 °C
พัทลุง,25.2 °C
ระนอง,26.0 °C
ภูเก็ต,25.7 °C
กระบี่,25.4 °C
ตรัง,25.3 °C
พังงา,25.0 °C
สตูล,26.0 °C
บึงกาฬ,24.7 °C
